account_id,bank_customer_id,balance,overdraft_limit,account_type,bank_id
fibabanka_ACC_1,fibabanka_92,141230.84,13369.14,Yatırım,fibabanka
fibabanka_ACC_2,fibabanka_229,123646.75,4686.61,Vadesiz,fibabanka
fibabanka_ACC_3,fibabanka_274,16630.58,13841.76,KMH,fibabanka
fibabanka_ACC_4,fibabanka_291,27227.26,12192.77,Yatırım,fibabanka
fibabanka_ACC_5,fibabanka_240,20355.34,4655.88,Yatırım,fibabanka
fibabanka_ACC_6,fibabanka_239,94638.63,14211.72,Vadesiz,fibabanka
fibabanka_ACC_7,fibabanka_133,182659.46,5881.15,Yatırım,fibabanka
fibabanka_ACC_8,fibabanka_170,157966.96,13236.06,KMH,fibabanka
fibabanka_ACC_9,fibabanka_250,7022.56,7130.02,KMH,fibabanka
fibabanka_ACC_10,fibabanka_246,92787.1,2562.02,KMH,fibabanka
fibabanka_ACC_11,fibabanka_295,26351.41,1543.98,Yatırım,fibabanka
fibabanka_ACC_12,fibabanka_55,65848.08,9741.77,KMH,fibabanka
fibabanka_ACC_13,fibabanka_273,92734,8858.04,Vadesiz,fibabanka
fibabanka_ACC_14,fibabanka_125,110041.85,14608.38,KMH,fibabanka
fibabanka_ACC_15,fibabanka_34,68802.12,12208.74,Yatırım,fibabanka
fibabanka_ACC_16,fibabanka_221,157078.48,6530.31,KMH,fibabanka
fibabanka_ACC_17,fibabanka_279,139132.5,2596.28,Yatırım,fibabanka
fibabanka_ACC_18,fibabanka_40,148134.04,10678.63,KMH,fibabanka
fibabanka_ACC_19,fibabanka_59,118840.46,6943.63,Yatırım,fibabanka
fibabanka_ACC_20,fibabanka_50,164582.59,2642.61,KMH,fibabanka
fibabanka_ACC_21,fibabanka_36,120053.58,10282.63,Yatırım,fibabanka
fibabanka_ACC_22,fibabanka_195,66154.24,9674.84,Vadesiz,fibabanka
fibabanka_ACC_23,fibabanka_47,44304.74,2083.75,Yatırım,fibabanka
fibabanka_ACC_24,fibabanka_1,151658.47,9913.22,KMH,fibabanka
fibabanka_ACC_25,fibabanka_273,59009.15,9233.58,KMH,fibabanka
fibabanka_ACC_26,fibabanka_101,41926.67,13161.38,KMH,fibabanka
fibabanka_ACC_27,fibabanka_292,159074.99,10193.38,KMH,fibabanka
fibabanka_ACC_28,fibabanka_177,198067.56,8740.9,Yatırım,fibabanka
fibabanka_ACC_29,fibabanka_262,81435.29,1913.34,KMH,fibabanka
fibabanka_ACC_30,fibabanka_32,74475.36,8233.28,Vadesiz,fibabanka
fibabanka_ACC_31,fibabanka_1,140967.47,12311.3,KMH,fibabanka
fibabanka_ACC_32,fibabanka_57,172388.32,12985.19,Vadesiz,fibabanka
fibabanka_ACC_33,fibabanka_222,140742.15,5914.02,KMH,fibabanka
fibabanka_ACC_34,fibabanka_196,81800.5,6527.85,Vadesiz,fibabanka
fibabanka_ACC_35,fibabanka_89,95499.41,2823.4,KMH,fibabanka
fibabanka_ACC_36,fibabanka_185,168152.57,2314.01,Yatırım,fibabanka
fibabanka_ACC_37,fibabanka_65,27721.21,1076.19,Vadesiz,fibabanka
fibabanka_ACC_38,fibabanka_74,144546.51,7300.52,KMH,fibabanka
fibabanka_ACC_39,fibabanka_70,17848.03,9633.64,KMH,fibabanka
fibabanka_ACC_40,fibabanka_234,178822.91,10430.86,KMH,fibabanka
fibabanka_ACC_41,fibabanka_93,91424.48,6361.87,KMH,fibabanka
fibabanka_ACC_42,fibabanka_197,71706.14,2786.87,Yatırım,fibabanka
fibabanka_ACC_43,fibabanka_4,116009.76,12702.06,Vadesiz,fibabanka
fibabanka_ACC_44,fibabanka_257,54580.84,13898.47,Yatırım,fibabanka
fibabanka_ACC_45,fibabanka_188,7658.91,567.98,KMH,fibabanka
fibabanka_ACC_46,fibabanka_189,23519.71,7222.99,Yatırım,fibabanka
