card_id,bank_customer_id,card_type,card_limit,available_limit,statement_date,due_date,card_provider,bank_id
fibabanka_CARD_CUST_0001_3,fibabanka_1,Kredi,37170.61,2232.97,2025-07-16,2025-07-26,Business,fibabanka
fibabanka_CARD_CUST_0002_1,fibabanka_2,Kredi,18799.41,3040.4,2025-07-18,2025-07-23,Business,fibabanka
fibabanka_CARD_CUST_0006_2,fibabanka_3,Banka,39856.21,59280.76,2025-07-03,2025-07-28,Platinum,fibabanka
fibabanka_CARD_CUST_0007_1,fibabanka_4,Banka,21370.3,17436.53,2025-07-02,2025-07-28,Black,fibabanka
fibabanka_CARD_CUST_0007_2,fibabanka_4,Banka,8086.61,14972.55,2025-07-12,2025-07-25,Black,fibabanka
fibabanka_CARD_CUST_0007_3,fibabanka_4,Banka,44928.57,16912.73,2025-07-10,2025-07-17,Business,fibabanka
fibabanka_CARD_CUST_0008_2,fibabanka_5,Banka,52664.16,4773.01,2025-07-04,2025-07-22,Gold,fibabanka
fibabanka_CARD_CUST_0010_2,fibabanka_6,Banka,34264.51,30745.71,2025-07-14,2025-07-15,Gold,fibabanka
fibabanka_CARD_CUST_0011_1,fibabanka_7,Banka,53660.36,68260.76,2025-07-18,2025-07-10,Classic,fibabanka
fibabanka_CARD_CUST_0011_2,fibabanka_7,Kredi,52452.7,29401.95,2025-07-17,2025-07-24,Business,fibabanka
fibabanka_CARD_CUST_0012_1,fibabanka_8,Banka,32623.03,16188.99,2025-07-01,2025-08-04,Business,fibabanka
fibabanka_CARD_CUST_0016_2,fibabanka_10,Banka,24191.72,18358.42,2025-07-09,2025-07-18,Business,fibabanka
fibabanka_CARD_CUST_0018_1,fibabanka_12,Banka,60962.62,29199.88,2025-07-05,2025-07-25,Gold,fibabanka
fibabanka_CARD_CUST_0019_3,fibabanka_13,Banka,74396.13,31693.03,2025-07-03,2025-07-29,Business,fibabanka
fibabanka_CARD_CUST_0021_1,fibabanka_15,Kredi,76187.65,44846.76,2025-07-06,2025-07-25,Classic,fibabanka
fibabanka_CARD_CUST_0024_1,fibabanka_16,Kredi,42684.49,65823.82,2025-07-18,2025-07-27,Black,fibabanka
fibabanka_CARD_CUST_0024_3,fibabanka_16,Kredi,3254.67,66813.8,2025-07-14,2025-07-25,Classic,fibabanka
fibabanka_CARD_CUST_0024_4,fibabanka_16,Banka,28674.86,21546.55,2025-07-01,2025-07-07,Classic,fibabanka
fibabanka_CARD_CUST_0025_2,fibabanka_17,Kredi,77498.5,46421.02,2025-07-16,2025-07-29,Black,fibabanka
fibabanka_CARD_CUST_0028_2,fibabanka_19,Kredi,35818.28,56900.71,2025-07-01,2025-07-20,Platinum,fibabanka
fibabanka_CARD_CUST_0031_4,fibabanka_21,Kredi,50656.91,60459.81,2025-07-14,2025-07-14,Black,fibabanka
fibabanka_CARD_CUST_0032_1,fibabanka_22,Banka,41308.64,11603.29,2025-07-17,2025-07-10,Classic,fibabanka
fibabanka_CARD_CUST_0039_1,fibabanka_25,Banka,59653.58,4309.41,2025-07-01,2025-07-27,Classic,fibabanka
fibabanka_CARD_CUST_0039_3,fibabanka_25,Banka,16495.59,39335.94,2025-07-15,2025-07-14,Business,fibabanka
fibabanka_CARD_CUST_0039_4,fibabanka_25,Kredi,13657.25,23777.61,2025-07-05,2025-07-13,Black,fibabanka
fibabanka_CARD_CUST_0048_3,fibabanka_29,Banka,39545.21,60793.04,2025-07-17,2025-07-26,Classic,fibabanka
fibabanka_CARD_CUST_0048_4,fibabanka_29,Banka,9810.52,28957.51,2025-07-02,2025-07-22,Black,fibabanka
fibabanka_CARD_CUST_0054_1,fibabanka_30,Banka,16259.95,21675.56,2025-07-08,2025-07-12,Gold,fibabanka
fibabanka_CARD_CUST_0054_3,fibabanka_30,Kredi,19157.76,68687.11,2025-07-03,2025-07-22,Classic,fibabanka
fibabanka_CARD_CUST_0055_2,fibabanka_31,Kredi,72956.76,3508.06,2025-07-06,2025-07-28,Classic,fibabanka
fibabanka_CARD_CUST_0056_1,fibabanka_32,Kredi,48245.43,14401.7,2025-07-04,2025-07-31,Classic,fibabanka
fibabanka_CARD_CUST_0056_2,fibabanka_32,Kredi,14207.89,52360.76,2025-07-05,2025-07-17,Business,fibabanka
fibabanka_CARD_CUST_0057_1,fibabanka_33,Kredi,41878.01,5249.42,2025-07-12,2025-07-14,Business,fibabanka
fibabanka_CARD_CUST_0063_2,fibabanka_35,Banka,27221.06,26655.39,2025-07-03,2025-07-24,Classic,fibabanka
fibabanka_CARD_CUST_0063_4,fibabanka_35,Banka,36162.45,22215.95,2025-07-02,2025-07-20,Black,fibabanka
fibabanka_CARD_CUST_0066_1,fibabanka_37,Kredi,4517.82,23165.12,2025-07-13,2025-07-31,Black,fibabanka
fibabanka_CARD_CUST_0066_2,fibabanka_37,Banka,23529.65,48869.11,2025-07-05,2025-07-17,Platinum,fibabanka
fibabanka_CARD_CUST_0066_3,fibabanka_37,Banka,46917.22,22908.29,2025-07-03,2025-07-12,Black,fibabanka
fibabanka_CARD_CUST_0066_4,fibabanka_37,Kredi,56196.53,14810.63,2025-07-14,2025-07-28,Business,fibabanka
fibabanka_CARD_CUST_0068_1,fibabanka_38,Banka,36334.11,38026.36,2025-07-09,2025-07-16,Black,fibabanka
fibabanka_CARD_CUST_0068_2,fibabanka_38,Banka,22347.39,36318.16,2025-07-16,2025-07-17,Classic,fibabanka
fibabanka_CARD_CUST_0068_3,fibabanka_38,Kredi,47416.93,15300.22,2025-07-16,2025-08-01,Platinum,fibabanka
fibabanka_CARD_CUST_0070_1,fibabanka_39,Kredi,5133.22,55894.61,2025-07-18,2025-07-15,Black,fibabanka
fibabanka_CARD_CUST_0072_1,fibabanka_40,Banka,54718.75,62057.49,2025-07-16,2025-07-28,Gold,fibabanka
fibabanka_CARD_CUST_0072_2,fibabanka_40,Kredi,11618.79,51546.39,2025-07-10,2025-07-12,Business,fibabanka
fibabanka_CARD_CUST_0072_3,fibabanka_40,Banka,41226.73,6772.29,2025-07-04,2025-07-23,Platinum,fibabanka
fibabanka_CARD_CUST_0074_1,fibabanka_41,Kredi,30950.85,50239.15,2025-07-12,2025-07-31,Classic,fibabanka
fibabanka_CARD_CUST_0077_3,fibabanka_43,Banka,16357.88,41714.92,2025-07-08,2025-07-18,Platinum,fibabanka
fibabanka_CARD_CUST_0078_4,fibabanka_44,Banka,62548.67,65015.8,2025-07-07,2025-07-23,Classic,fibabanka
fibabanka_CARD_CUST_0079_2,fibabanka_45,Kredi,49206.37,69666.92,2025-07-03,2025-07-31,Gold,fibabanka
fibabanka_CARD_CUST_0081_1,fibabanka_46,Kredi,39261.8,25123.97,2025-07-02,2025-07-08,Classic,fibabanka
fibabanka_CARD_CUST_0085_2,fibabanka_50,Kredi,18687.5,20246.09,2025-07-15,2025-07-16,Business,fibabanka
fibabanka_CARD_CUST_0087_1,fibabanka_52,Kredi,5223.34,32486.21,2025-07-12,2025-07-31,Black,fibabanka
fibabanka_CARD_CUST_0087_2,fibabanka_52,Banka,48753.73,903.47,2025-07-04,2025-07-23,Business,fibabanka
fibabanka_CARD_CUST_0087_3,fibabanka_52,Banka,28018.49,51342.39,2025-07-03,2025-07-10,Gold,fibabanka
fibabanka_CARD_CUST_0089_1,fibabanka_53,Banka,24940.06,52802.82,2025-07-11,2025-07-16,Classic,fibabanka
fibabanka_CARD_CUST_0092_4,fibabanka_54,Banka,61316.28,31771.38,2025-07-16,2025-07-16,Platinum,fibabanka
fibabanka_CARD_CUST_0095_2,fibabanka_57,Banka,77217.75,33268.5,2025-07-17,2025-07-27,Business,fibabanka
fibabanka_CARD_CUST_0098_3,fibabanka_58,Banka,64289.9,56082.98,2025-07-14,2025-07-23,Business,fibabanka
fibabanka_CARD_CUST_0099_1,fibabanka_59,Kredi,64098.15,66042.3,2025-07-05,2025-07-23,Platinum,fibabanka
fibabanka_CARD_CUST_0100_2,fibabanka_60,Kredi,12292.98,16074.65,2025-07-12,2025-07-26,Platinum,fibabanka
fibabanka_CARD_CUST_0101_2,fibabanka_61,Kredi,66417.99,3416.88,2025-07-14,2025-07-24,Gold,fibabanka
fibabanka_CARD_CUST_0105_1,fibabanka_63,Kredi,43076.17,38084.92,2025-07-15,2025-07-22,Classic,fibabanka
fibabanka_CARD_CUST_0106_1,fibabanka_64,Kredi,67801.92,18553.07,2025-07-14,2025-08-02,Classic,fibabanka
fibabanka_CARD_CUST_0106_2,fibabanka_64,Kredi,61255.12,65923.34,2025-07-01,2025-07-31,Platinum,fibabanka
fibabanka_CARD_CUST_0107_1,fibabanka_65,Kredi,58005.03,36616.83,2025-07-18,2025-07-16,Classic,fibabanka
fibabanka_CARD_CUST_0110_1,fibabanka_66,Kredi,63922.68,10378.72,2025-07-13,2025-08-04,Classic,fibabanka
fibabanka_CARD_CUST_0110_2,fibabanka_66,Banka,71457.4,15482.91,2025-07-03,2025-08-06,Classic,fibabanka
fibabanka_CARD_CUST_0110_3,fibabanka_66,Kredi,45160.37,5195.74,2025-07-16,2025-07-15,Black,fibabanka
fibabanka_CARD_CUST_0111_1,fibabanka_67,Banka,39592.52,50542.33,2025-07-03,2025-07-26,Gold,fibabanka
fibabanka_CARD_CUST_0111_2,fibabanka_67,Banka,61649.27,46871.84,2025-07-06,2025-07-15,Platinum,fibabanka
fibabanka_CARD_CUST_0111_3,fibabanka_67,Kredi,64585.49,46682.91,2025-07-05,2025-07-25,Black,fibabanka
fibabanka_CARD_CUST_0113_2,fibabanka_68,Kredi,12261.8,65564.64,2025-07-02,2025-07-15,Classic,fibabanka
fibabanka_CARD_CUST_0113_4,fibabanka_68,Banka,33938.44,3626.36,2025-07-11,2025-07-12,Platinum,fibabanka
fibabanka_CARD_CUST_0115_1,fibabanka_69,Kredi,27643.19,29191.19,2025-07-15,2025-08-01,Platinum,fibabanka
fibabanka_CARD_CUST_0115_3,fibabanka_69,Kredi,60914.3,41229.02,2025-07-02,2025-08-05,Business,fibabanka
fibabanka_CARD_CUST_0116_1,fibabanka_70,Banka,8040.28,2509,2025-07-08,2025-07-15,Classic,fibabanka
fibabanka_CARD_CUST_0116_4,fibabanka_70,Kredi,63281.88,10394.51,2025-07-15,2025-07-14,Gold,fibabanka
fibabanka_CARD_CUST_0120_1,fibabanka_73,Kredi,12606.82,26248.4,2025-07-15,2025-07-20,Black,fibabanka
fibabanka_CARD_CUST_0120_2,fibabanka_73,Kredi,20057.1,1874.83,2025-07-16,2025-07-26,Platinum,fibabanka
