bank_customer_id,global_customer_id,bank_id,registration_date,risk_score
fibabanka_1,CUST_0001,fibabanka,2024-03-31,23
fibabanka_2,CUST_0002,fibabanka,2023-08-15,61
fibabanka_3,CUST_0006,fibabanka,2022-08-25,41
fibabanka_4,CUST_0007,fibabanka,2021-01-22,46
fibabanka_5,CUST_0008,fibabanka,2021-05-08,28
fibabanka_6,CUST_0010,fibabanka,2021-10-12,74
fibabanka_7,CUST_0011,fibabanka,2021-03-06,35
fibabanka_8,CUST_0012,fibabanka,2023-06-16,24
fibabanka_9,CUST_0014,fibabanka,2023-03-18,96
fibabanka_10,CUST_0016,fibabanka,2021-02-01,88
fibabanka_11,CUST_0017,fibabanka,2024-06-23,25
fibabanka_12,CUST_0018,fibabanka,2021-08-11,64
fibabanka_13,CUST_0019,fibabanka,2021-10-21,95
fibabanka_14,CUST_0020,fibabanka,2024-03-24,26
fibabanka_15,CUST_0021,fibabanka,2021-08-21,31
fibabanka_16,CUST_0024,fibabanka,2023-04-14,95
fibabanka_17,CUST_0025,fibabanka,2022-07-21,31
fibabanka_18,CUST_0027,fibabanka,2024-05-04,34
fibabanka_19,CUST_0028,fibabanka,2022-06-05,27
fibabanka_20,CUST_0029,fibabanka,2025-04-29,30
fibabanka_21,CUST_0031,fibabanka,2024-03-14,26
fibabanka_22,CUST_0032,fibabanka,2020-09-24,32
fibabanka_23,CUST_0036,fibabanka,2024-12-23,80
fibabanka_24,CUST_0038,fibabanka,2021-11-27,46
fibabanka_25,CUST_0039,fibabanka,2024-01-23,20
fibabanka_26,CUST_0043,fibabanka,2022-12-28,100
fibabanka_27,CUST_0044,fibabanka,2021-07-30,14
fibabanka_28,CUST_0047,fibabanka,2022-10-23,16
fibabanka_29,CUST_0048,fibabanka,2024-11-07,11
fibabanka_30,CUST_0054,fibabanka,2024-07-25,87
fibabanka_31,CUST_0055,fibabanka,2025-03-25,85
fibabanka_32,CUST_0056,fibabanka,2020-08-31,64
fibabanka_33,CUST_0057,fibabanka,2025-04-29,79
fibabanka_34,CUST_0061,fibabanka,2024-09-11,1
fibabanka_35,CUST_0063,fibabanka,2022-04-18,98
fibabanka_36,CUST_0065,fibabanka,2023-08-23,70
fibabanka_37,CUST_0066,fibabanka,2024-07-06,6
fibabanka_38,CUST_0068,fibabanka,2023-08-14,62
fibabanka_39,CUST_0070,fibabanka,2023-01-08,48
fibabanka_40,CUST_0072,fibabanka,2021-11-21,80
fibabanka_41,CUST_0074,fibabanka,2022-08-10,41
fibabanka_42,CUST_0075,fibabanka,2022-06-25,64
fibabanka_43,CUST_0077,fibabanka,2024-04-17,74
fibabanka_44,CUST_0078,fibabanka,2020-10-12,36
fibabanka_45,CUST_0079,fibabanka,2023-10-03,63
fibabanka_46,CUST_0081,fibabanka,2020-07-26,24
fibabanka_47,CUST_0082,fibabanka,2021-08-19,98
fibabanka_48,CUST_0083,fibabanka,2022-05-13,66
fibabanka_49,CUST_0084,fibabanka,2020-09-27,36
fibabanka_50,CUST_0085,fibabanka,2025-05-09,51
fibabanka_51,CUST_0086,fibabanka,2022-01-18,29
fibabanka_52,CUST_0087,fibabanka,2023-05-08,97
fibabanka_53,CUST_0089,fibabanka,2021-01-10,74
fibabanka_54,CUST_0092,fibabanka,2021-05-31,17
fibabanka_55,CUST_0093,fibabanka,2022-04-20,7
fibabanka_56,CUST_0094,fibabanka,2024-12-21,68
fibabanka_57,CUST_0095,fibabanka,2022-08-29,55
fibabanka_58,CUST_0098,fibabanka,2021-02-25,62
fibabanka_59,CUST_0099,fibabanka,2022-12-18,70
fibabanka_60,CUST_0100,fibabanka,2021-07-19,5
fibabanka_61,CUST_0101,fibabanka,2021-07-12,65
fibabanka_62,CUST_0103,fibabanka,2024-01-19,45
fibabanka_63,CUST_0105,fibabanka,2021-03-07,51
fibabanka_64,CUST_0106,fibabanka,2023-11-02,88
fibabanka_65,CUST_0107,fibabanka,2023-01-03,100
fibabanka_66,CUST_0110,fibabanka,2020-11-04,23
fibabanka_67,CUST_0111,fibabanka,2022-08-09,59
fibabanka_68,CUST_0113,fibabanka,2023-06-24,16
fibabanka_69,CUST_0115,fibabanka,2023-09-17,90
fibabanka_70,CUST_0116,fibabanka,2021-01-19,67
fibabanka_71,CUST_0118,fibabanka,2023-03-05,59
fibabanka_72,CUST_0119,fibabanka,2024-08-14,41
fibabanka_73,CUST_0120,fibabanka,2024-11-12,89
fibabanka_74,CUST_0121,fibabanka,2021-03-06,2
fibabanka_75,CUST_0124,fibabanka,2022-02-28,2
fibabanka_76,CUST_0125,fibabanka,2024-05-31,87
fibabanka_77,CUST_0128,fibabanka,2020-11-11,27
fibabanka_78,CUST_0130,fibabanka,2022-07-22,49
fibabanka_79,CUST_0131,fibabanka,2022-11-21,75
fibabanka_80,CUST_0132,fibabanka,2023-12-22,13
fibabanka_81,CUST_0135,fibabanka,2022-06-12,42
fibabanka_82,CUST_0137,fibabanka,2021-09-11,47
fibabanka_83,CUST_0140,fibabanka,2021-12-10,79
fibabanka_84,CUST_0141,fibabanka,2024-07-12,34
fibabanka_85,CUST_0142,fibabanka,2024-05-19,24
fibabanka_86,CUST_0143,fibabanka,2022-05-30,71
fibabanka_87,CUST_0144,fibabanka,2023-02-13,34
fibabanka_88,CUST_0145,fibabanka,2021-10-19,31
fibabanka_89,CUST_0147,fibabanka,2022-12-12,35
fibabanka_90,CUST_0148,fibabanka,2022-02-20,61
