bank_customer_id,global_customer_id,bank_id,registration_date,risk_score
garanti_1,CUST_0001,garanti,2023-10-12,37
garanti_2,CUST_0003,garanti,2020-07-26,2
garanti_3,CUST_0004,garanti,2023-04-23,44
garanti_4,CUST_0006,garanti,2023-01-11,89
garanti_5,CUST_0007,garanti,2024-12-12,15
garanti_6,CUST_0008,garanti,2021-09-17,40
garanti_7,CUST_0009,garanti,2024-08-18,58
garanti_8,CUST_0010,garanti,2021-02-05,61
garanti_9,CUST_0014,garanti,2023-01-04,3
garanti_10,CUST_0015,garanti,2021-04-20,43
garanti_11,CUST_0016,garanti,2021-06-25,27
garanti_12,CUST_0017,garanti,2023-03-29,95
garanti_13,CUST_0019,garanti,2021-04-10,69
garanti_14,CUST_0020,garanti,2023-07-31,28
garanti_15,CUST_0022,garanti,2020-12-25,27
garanti_16,CUST_0023,garanti,2020-12-20,70
garanti_17,CUST_0024,garanti,2020-10-27,67
garanti_18,CUST_0027,garanti,2021-01-15,97
garanti_19,CUST_0028,garanti,2024-05-19,34
garanti_20,CUST_0029,garanti,2020-11-27,71
garanti_21,CUST_0030,garanti,2020-11-03,62
garanti_22,CUST_0031,garanti,2021-06-21,80
garanti_23,CUST_0033,garanti,2022-01-05,94
garanti_24,CUST_0035,garanti,2022-11-18,19
garanti_25,CUST_0036,garanti,2021-04-04,89
garanti_26,CUST_0038,garanti,2025-04-06,90
garanti_27,CUST_0043,garanti,2022-07-21,86
garanti_28,CUST_0044,garanti,2020-10-14,3
garanti_29,CUST_0045,garanti,2021-01-09,49
garanti_30,CUST_0047,garanti,2020-08-14,75
garanti_31,CUST_0053,garanti,2022-03-18,85
garanti_32,CUST_0054,garanti,2021-01-26,68
garanti_33,CUST_0056,garanti,2021-11-16,6
garanti_34,CUST_0058,garanti,2023-10-14,33
garanti_35,CUST_0061,garanti,2024-02-08,22
garanti_36,CUST_0062,garanti,2025-05-07,8
garanti_37,CUST_0064,garanti,2021-06-07,37
garanti_38,CUST_0065,garanti,2023-01-29,26
garanti_39,CUST_0069,garanti,2024-01-05,90
garanti_40,CUST_0070,garanti,2024-01-31,80
garanti_41,CUST_0071,garanti,2021-01-26,35
garanti_42,CUST_0075,garanti,2021-10-01,7
garanti_43,CUST_0076,garanti,2023-02-24,60
garanti_44,CUST_0078,garanti,2021-10-15,84
garanti_45,CUST_0079,garanti,2023-07-12,2
garanti_46,CUST_0080,garanti,2022-08-23,9
garanti_47,CUST_0082,garanti,2024-11-29,50
garanti_48,CUST_0086,garanti,2022-03-01,85
garanti_49,CUST_0088,garanti,2025-03-25,35
garanti_50,CUST_0090,garanti,2021-01-16,85
garanti_51,CUST_0092,garanti,2021-11-20,85
garanti_52,CUST_0094,garanti,2021-08-28,47
garanti_53,CUST_0095,garanti,2024-04-18,14
garanti_54,CUST_0096,garanti,2025-03-05,3
garanti_55,CUST_0097,garanti,2020-12-25,38
garanti_56,CUST_0099,garanti,2024-01-30,84
garanti_57,CUST_0101,garanti,2024-09-21,50
garanti_58,CUST_0102,garanti,2022-07-20,30
garanti_59,CUST_0103,garanti,2022-04-16,49
garanti_60,CUST_0104,garanti,2025-02-26,66
garanti_61,CUST_0106,garanti,2022-07-09,91
garanti_62,CUST_0107,garanti,2021-04-23,13
garanti_63,CUST_0108,garanti,2021-12-24,41
garanti_64,CUST_0109,garanti,2022-06-20,63
garanti_65,CUST_0112,garanti,2021-03-12,77
garanti_66,CUST_0113,garanti,2024-04-22,69
garanti_67,CUST_0114,garanti,2022-12-22,12
garanti_68,CUST_0115,garanti,2023-10-08,24
garanti_69,CUST_0116,garanti,2024-03-03,26
garanti_70,CUST_0121,garanti,2024-01-07,65
garanti_71,CUST_0123,garanti,2021-12-30,59
garanti_72,CUST_0126,garanti,2025-04-23,72
garanti_73,CUST_0128,garanti,2021-12-04,92
garanti_74,CUST_0129,garanti,2024-04-04,3
garanti_75,CUST_0130,garanti,2022-11-15,6
garanti_76,CUST_0134,garanti,2021-10-22,32
garanti_77,CUST_0135,garanti,2023-08-17,68
