account_id,bank_customer_id,balance,overdraft_limit,account_type,bank_id
yapikredi_ACC_1,yapikredi_284,29024.52,8014.44,Yatırım,yapikredi
yapikredi_ACC_2,yapikredi_290,124744.19,2389.58,Yatırım,yapikredi
yapikredi_ACC_3,yapikredi_236,157197.42,7919.32,Yatırım,yapikredi
yapikredi_ACC_4,yapikredi_222,112047.98,7800.59,Yatırım,yapikredi
yapikredi_ACC_5,yapikredi_290,24544.34,7937.08,Yatırım,yapikredi
yapikredi_ACC_6,yapikredi_249,156536.27,1089.72,Vadesiz,yapikredi
yapikredi_ACC_7,yapikredi_190,160767.3,6431.31,KMH,yapikredi
yapikredi_ACC_8,yapikredi_233,168934.7,8540.25,KMH,yapikredi
yapikredi_ACC_9,yapikredi_12,138949.48,3551.21,Vadesiz,yapikredi
yapikredi_ACC_10,yapikredi_45,27407.51,13217.69,KMH,yapikredi
yapikredi_ACC_11,yapikredi_233,170004.76,9465.9,Yatırım,yapikredi
yapikredi_ACC_12,yapikredi_287,166376.37,2801.58,Vadesiz,yapikredi
yapikredi_ACC_13,yapikredi_155,195577.79,8299.44,Vadesiz,yapikredi
yapikredi_ACC_14,yapikredi_189,186970.34,14111.18,KMH,yapikredi
yapikredi_ACC_15,yapikredi_185,67787.27,4715.32,Vadesiz,yapikredi
yapikredi_ACC_16,yapikredi_236,97844.92,4361.81,Vadesiz,yapikredi
yapikredi_ACC_17,yapikredi_71,98167.27,5776.45,Vadesiz,yapikredi
yapikredi_ACC_18,yapikredi_39,20217.83,10094.61,Yatırım,yapikredi
yapikredi_ACC_19,yapikredi_283,29786.03,1378.53,Yatırım,yapikredi
yapikredi_ACC_20,yapikredi_207,188053.11,6536.14,Vadesiz,yapikredi
yapikredi_ACC_21,yapikredi_84,29041.74,14145.38,KMH,yapikredi
yapikredi_ACC_22,yapikredi_263,117939.34,6739.19,Yatırım,yapikredi
yapikredi_ACC_23,yapikredi_136,144480.21,5496.62,Vadesiz,yapikredi
yapikredi_ACC_24,yapikredi_54,164838.19,5199.17,KMH,yapikredi
yapikredi_ACC_25,yapikredi_191,97735.21,12525.12,KMH,yapikredi
yapikredi_ACC_26,yapikredi_223,156120.96,1896.29,Yatırım,yapikredi
yapikredi_ACC_27,yapikredi_73,26139.38,13044.65,KMH,yapikredi
yapikredi_ACC_28,yapikredi_1,142351.02,270.93,Yatırım,yapikredi
yapikredi_ACC_29,yapikredi_26,13610.5,5989.48,Yatırım,yapikredi
yapikredi_ACC_30,yapikredi_176,82591.74,14259.59,KMH,yapikredi
yapikredi_ACC_31,yapikredi_88,43043.15,2040.19,KMH,yapikredi
yapikredi_ACC_32,yapikredi_91,101116.64,13793.14,Yatırım,yapikredi
yapikredi_ACC_33,yapikredi_168,177597.41,13282.18,KMH,yapikredi
yapikredi_ACC_34,yapikredi_3,12623.74,7282.12,Yatırım,yapikredi
yapikredi_ACC_35,yapikredi_265,37370.88,10332.71,Yatırım,yapikredi
yapikredi_ACC_36,yapikredi_232,48833.72,2043.75,KMH,yapikredi
yapikredi_ACC_37,yapikredi_38,78507.73,14009.41,KMH,yapikredi
yapikredi_ACC_38,yapikredi_4,96812.59,883.76,KMH,yapikredi
yapikredi_ACC_39,yapikredi_288,128654.6,11295.87,Vadesiz,yapikredi
yapikredi_ACC_40,yapikredi_47,24117.56,5577.02,Vadesiz,yapikredi
yapikredi_ACC_41,yapikredi_92,168924.26,13288.63,Vadesiz,yapikredi
yapikredi_ACC_42,yapikredi_45,63681.69,6411.06,Yatırım,yapikredi
yapikredi_ACC_43,yapikredi_23,149029.77,3411.19,KMH,yapikredi
yapikredi_ACC_44,yapikredi_28,164342.29,2042.46,Vadesiz,yapikredi
yapikredi_ACC_45,yapikredi_17,93012.72,12144.93,Yatırım,yapikredi
yapikredi_ACC_46,yapikredi_161,136416.6,69.05,KMH,yapikredi
yapikredi_ACC_47,yapikredi_132,181304.14,12449.66,Yatırım,yapikredi
yapikredi_ACC_48,yapikredi_45,175574.06,8610.04,KMH,yapikredi
yapikredi_ACC_49,yapikredi_288,142563.92,10486.9,Vadesiz,yapikredi
yapikredi_ACC_50,yapikredi_73,159692.3,7828.54,KMH,yapikredi
yapikredi_ACC_51,yapikredi_285,115043.79,12978.07,KMH,yapikredi
yapikredi_ACC_52,yapikredi_177,27169.51,3856.36,KMH,yapikredi
yapikredi_ACC_53,yapikredi_60,83270.5,10990.54,Yatırım,yapikredi
yapikredi_ACC_54,yapikredi_264,185213.4,14661.06,Vadesiz,yapikredi
yapikredi_ACC_55,yapikredi_160,162376.42,1239.64,Yatırım,yapikredi
yapikredi_ACC_56,yapikredi_37,8068.81,4984.35,Vadesiz,yapikredi
yapikredi_ACC_57,yapikredi_181,155161.96,9959.82,KMH,yapikredi
yapikredi_ACC_58,yapikredi_114,137235.87,1030.81,KMH,yapikredi
yapikredi_ACC_59,yapikredi_110,194193.22,11755.07,Yatırım,yapikredi
yapikredi_ACC_60,yapikredi_185,88132.23,7860.27,Vadesiz,yapikredi
yapikredi_ACC_61,yapikredi_173,174400.07,2270.76,Yatırım,yapikredi
yapikredi_ACC_62,yapikredi_31,81720.68,4095.13,Yatırım,yapikredi
yapikredi_ACC_63,yapikredi_223,8744.64,6439,Vadesiz,yapikredi
yapikredi_ACC_64,yapikredi_281,44586.85,10766.22,KMH,yapikredi
yapikredi_ACC_65,yapikredi_154,186258.84,7550.7,Yatırım,yapikredi
yapikredi_ACC_66,yapikredi_156,193566.93,4768.79,Vadesiz,yapikredi
yapikredi_ACC_67,yapikredi_196,184306.33,11966.9,Yatırım,yapikredi
yapikredi_ACC_68,yapikredi_153,81772.55,2068.5,Vadesiz,yapikredi
yapikredi_ACC_69,yapikredi_170,67464.51,6682.74,KMH,yapikredi
yapikredi_ACC_70,yapikredi_142,141232.9,5902.1,KMH,yapikredi
yapikredi_ACC_71,yapikredi_172,71135.4,5463.33,KMH,yapikredi
yapikredi_ACC_72,yapikredi_82,41992.01,2741.58,Vadesiz,yapikredi
yapikredi_ACC_73,yapikredi_18,108627.59,4999.6,KMH,yapikredi
yapikredi_ACC_74,yapikredi_55,9458.53,9434.16,KMH,yapikredi
yapikredi_ACC_75,yapikredi_15,133550.4,9001.33,Vadesiz,yapikredi
yapikredi_ACC_76,yapikredi_52,190257.36,14951.72,KMH,yapikredi
yapikredi_ACC_77,yapikredi_260,188339.35,1421.32,Yatırım,yapikredi
yapikredi_ACC_78,yapikredi_10,29322.52,12081.62,Yatırım,yapikredi
yapikredi_ACC_79,yapikredi_228,136713.46,809.75,Yatırım,yapikredi
