card_id,bank_customer_id,card_type,card_limit,available_limit,statement_date,due_date,card_provider,bank_id
yapikredi_CARD_CUST_0001_4,yapikredi_1,Kredi,17646.3,64692.76,2025-07-12,2025-07-20,Platinum,yapikredi
yapikredi_CARD_CUST_0005_3,yapikredi_3,Banka,26900.16,45287.09,2025-07-18,2025-07-20,Black,yapikredi
yapikredi_CARD_CUST_0005_4,yapikredi_3,Kredi,75953.52,10488.66,2025-07-14,2025-07-15,Platinum,yapikredi
yapikredi_CARD_CUST_0009_3,yapikredi_5,Banka,79252.27,40999.52,2025-07-03,2025-07-23,Gold,yapikredi
yapikredi_CARD_CUST_0009_4,yapikredi_5,Banka,7805.61,63124.76,2025-07-13,2025-07-18,Classic,yapikredi
yapikredi_CARD_CUST_0010_1,yapikredi_6,Kredi,21113.57,49304.42,2025-07-16,2025-08-04,Platinum,yapikredi
yapikredi_CARD_CUST_0015_2,yapikredi_9,Kredi,47110.22,46114.23,2025-07-18,2025-07-17,Business,yapikredi
yapikredi_CARD_CUST_0017_1,yapikredi_11,Banka,31472.05,12690.26,2025-07-18,2025-07-13,Black,yapikredi
yapikredi_CARD_CUST_0022_2,yapikredi_15,Banka,16700.57,5323.19,2025-07-16,2025-07-12,Business,yapikredi
yapikredi_CARD_CUST_0023_2,yapikredi_16,Kredi,5684.29,5393.66,2025-07-06,2025-07-18,Black,yapikredi
yapikredi_CARD_CUST_0024_2,yapikredi_17,Banka,34101.28,51079.84,2025-07-11,2025-07-09,Business,yapikredi
yapikredi_CARD_CUST_0025_1,yapikredi_18,Banka,61554.89,20652.13,2025-07-10,2025-07-26,Gold,yapikredi
yapikredi_CARD_CUST_0028_1,yapikredi_20,Kredi,11791.84,41850.93,2025-07-14,2025-07-23,Classic,yapikredi
yapikredi_CARD_CUST_0030_1,yapikredi_21,Banka,62879.95,1586.31,2025-07-11,2025-07-28,Classic,yapikredi
yapikredi_CARD_CUST_0032_4,yapikredi_22,Kredi,40349.73,8566.52,2025-07-05,2025-07-20,Black,yapikredi
yapikredi_CARD_CUST_0033_3,yapikredi_23,Banka,48052.1,4276.59,2025-07-17,2025-08-03,Gold,yapikredi
yapikredi_CARD_CUST_0033_4,yapikredi_23,Kredi,74447.31,32121.87,2025-07-05,2025-08-03,Platinum,yapikredi
yapikredi_CARD_CUST_0035_3,yapikredi_25,Banka,67448.16,19902.38,2025-07-12,2025-08-05,Gold,yapikredi
yapikredi_CARD_CUST_0036_1,yapikredi_26,Kredi,73359.11,62928.5,2025-07-13,2025-08-05,Classic,yapikredi
yapikredi_CARD_CUST_0038_1,yapikredi_27,Banka,57200.46,594.77,2025-07-17,2025-07-09,Black,yapikredi
