account_id,bank_customer_id,balance,overdraft_limit,account_type,bank_id
ziraat_ACC_1,ziraat_109,104944.57,108.93,Yatırım,ziraat
ziraat_ACC_2,ziraat_267,197392.47,11420.46,KMH,ziraat
ziraat_ACC_3,ziraat_243,151625.42,9065.57,KMH,ziraat
ziraat_ACC_4,ziraat_190,136690.14,5146.16,KMH,ziraat
ziraat_ACC_5,ziraat_123,188257.22,9976.17,KMH,ziraat
ziraat_ACC_6,ziraat_30,195085.71,13096.16,Vadesiz,ziraat
ziraat_ACC_7,ziraat_2,91926.93,10474.62,Yatırım,ziraat
ziraat_ACC_8,ziraat_72,6110.41,1843.42,Yatırım,ziraat
ziraat_ACC_9,ziraat_144,190261.33,11271.6,Vadesiz,ziraat
ziraat_ACC_10,ziraat_189,90931.7,10292.77,KMH,ziraat
ziraat_ACC_11,ziraat_264,83212.19,2819.02,Yatırım,ziraat
ziraat_ACC_12,ziraat_165,4309.43,5403.08,Vadesiz,ziraat
ziraat_ACC_13,ziraat_167,135907.95,3503.38,KMH,ziraat
ziraat_ACC_14,ziraat_205,148101.72,11909.41,KMH,ziraat
ziraat_ACC_15,ziraat_220,187877.87,14122.16,KMH,ziraat
ziraat_ACC_16,ziraat_52,147121.27,4407.94,Vadesiz,ziraat
ziraat_ACC_17,ziraat_74,174101.89,13143.51,Yatırım,ziraat
ziraat_ACC_18,ziraat_259,7317.4,7468.88,Vadesiz,ziraat
ziraat_ACC_19,ziraat_155,166638.47,14944.57,KMH,ziraat
ziraat_ACC_20,ziraat_87,179385.31,14325.77,KMH,ziraat
ziraat_ACC_21,ziraat_277,48939.42,3174.61,Yatırım,ziraat
ziraat_ACC_22,ziraat_46,21988.47,14900.42,Vadesiz,ziraat
ziraat_ACC_23,ziraat_83,185871.69,4897.51,KMH,ziraat
ziraat_ACC_24,ziraat_144,44854.83,3864.43,KMH,ziraat
ziraat_ACC_25,ziraat_64,133429.8,13841.04,Yatırım,ziraat
ziraat_ACC_26,ziraat_252,18997.91,10376.77,Vadesiz,ziraat
ziraat_ACC_27,ziraat_295,153501.14,9010.19,Yatırım,ziraat
ziraat_ACC_28,ziraat_176,76025.05,10761.64,Yatırım,ziraat
ziraat_ACC_29,ziraat_196,131130.01,11776.23,KMH,ziraat
ziraat_ACC_30,ziraat_120,45486.62,1735.35,Vadesiz,ziraat
ziraat_ACC_31,ziraat_58,18738.75,11108.72,Vadesiz,ziraat
ziraat_ACC_32,ziraat_60,114994.96,1911.26,KMH,ziraat
ziraat_ACC_33,ziraat_195,115806.45,25.18,Vadesiz,ziraat
ziraat_ACC_34,ziraat_303,107585.01,12706.78,KMH,ziraat
ziraat_ACC_35,ziraat_164,154484.9,11962.77,Vadesiz,ziraat
ziraat_ACC_36,ziraat_267,133084.81,8861.64,Vadesiz,ziraat
ziraat_ACC_37,ziraat_203,2828.52,12785.43,KMH,ziraat
ziraat_ACC_38,ziraat_75,163413.44,4452.35,Vadesiz,ziraat
ziraat_ACC_39,ziraat_256,136316.2,2211.38,KMH,ziraat
ziraat_ACC_40,ziraat_75,149664.93,12736.91,Yatırım,ziraat
ziraat_ACC_41,ziraat_18,120177.18,4633.37,Yatırım,ziraat
ziraat_ACC_42,ziraat_64,55417.06,12715.04,Yatırım,ziraat
ziraat_ACC_43,ziraat_245,126584.34,3235.58,KMH,ziraat
ziraat_ACC_44,ziraat_193,12703.71,12153.15,Vadesiz,ziraat
ziraat_ACC_45,ziraat_108,169765.92,14016.49,Vadesiz,ziraat
ziraat_ACC_46,ziraat_27,184708.41,11640.58,KMH,ziraat
ziraat_ACC_47,ziraat_201,60521.25,12225.18,Vadesiz,ziraat
ziraat_ACC_48,ziraat_12,110040.64,5061.15,Yatırım,ziraat
ziraat_ACC_49,ziraat_243,198072.55,11365.71,KMH,ziraat
ziraat_ACC_50,ziraat_37,106041.04,4245.6,Yatırım,ziraat
ziraat_ACC_51,ziraat_100,140520.63,8220.15,Vadesiz,ziraat
ziraat_ACC_52,ziraat_68,65360.3,11869.16,Vadesiz,ziraat
ziraat_ACC_53,ziraat_156,92048.97,2455.42,Vadesiz,ziraat
ziraat_ACC_54,ziraat_227,139495.15,4366.22,Vadesiz,ziraat
ziraat_ACC_55,ziraat_108,44409.16,11225.74,Yatırım,ziraat
ziraat_ACC_56,ziraat_5,73082.93,12842.12,Vadesiz,ziraat
ziraat_ACC_57,ziraat_76,75934.6,14740.51,Yatırım,ziraat
ziraat_ACC_58,ziraat_87,185271.08,1440.72,KMH,ziraat
ziraat_ACC_59,ziraat_92,189067.58,1760.2,Yatırım,ziraat
ziraat_ACC_60,ziraat_174,119085.09,14545.9,Yatırım,ziraat
ziraat_ACC_61,ziraat_207,49755.2,1782.04,KMH,ziraat
ziraat_ACC_62,ziraat_251,61235.23,8942.33,Vadesiz,ziraat
ziraat_ACC_63,ziraat_193,155394.11,14867.46,Yatırım,ziraat
ziraat_ACC_64,ziraat_46,155768.43,12973.44,Yatırım,ziraat
ziraat_ACC_65,ziraat_196,55767.99,9797.93,KMH,ziraat
ziraat_ACC_66,ziraat_6,24880.08,1239.55,KMH,ziraat
ziraat_ACC_67,ziraat_261,45762.07,8802.76,Yatırım,ziraat
ziraat_ACC_68,ziraat_246,55471.24,11180.39,Yatırım,ziraat
ziraat_ACC_69,ziraat_93,77408.02,14999.31,Yatırım,ziraat
