card_id,bank_customer_id,card_type,card_limit,available_limit,statement_date,due_date,card_provider,bank_id
ziraat_CARD_CUST_0002_2,ziraat_1,Kredi,3316.46,65297.45,2025-07-18,2025-07-09,Platinum,ziraat
ziraat_CARD_CUST_0003_2,ziraat_2,Kredi,17826.01,19727.14,2025-07-15,2025-07-28,Black,ziraat
ziraat_CARD_CUST_0004_2,ziraat_3,Kredi,16188.17,22140.74,2025-07-09,2025-07-18,Business,ziraat
ziraat_CARD_CUST_0005_1,ziraat_4,Banka,65943.03,50046.46,2025-07-15,2025-07-19,Black,ziraat
ziraat_CARD_CUST_0005_2,ziraat_4,Kredi,10154.55,56263.36,2025-07-16,2025-07-23,Classic,ziraat
ziraat_CARD_CUST_0009_2,ziraat_5,Kredi,55476.79,22503.54,2025-07-07,2025-07-17,Black,ziraat
ziraat_CARD_CUST_0013_1,ziraat_7,Kredi,47680.7,67340.77,2025-07-14,2025-07-25,Gold,ziraat
ziraat_CARD_CUST_0013_2,ziraat_7,Banka,38800.1,5937.3,2025-07-12,2025-07-24,Gold,ziraat
ziraat_CARD_CUST_0018_2,ziraat_9,Banka,58901.93,12126.19,2025-07-10,2025-07-25,Classic,ziraat
ziraat_CARD_CUST_0019_1,ziraat_10,Banka,26205.27,52357.46,2025-07-18,2025-07-21,Black,ziraat
ziraat_CARD_CUST_0019_4,ziraat_10,Kredi,10497.05,37424.89,2025-07-03,2025-07-25,Black,ziraat
ziraat_CARD_CUST_0021_2,ziraat_11,Kredi,31948.8,53588.11,2025-07-15,2025-07-13,Classic,ziraat
ziraat_CARD_CUST_0021_3,ziraat_11,Kredi,22506.85,32953.41,2025-07-04,2025-07-23,Black,ziraat
ziraat_CARD_CUST_0021_4,ziraat_11,Banka,62240.65,48609.39,2025-07-05,2025-07-26,Platinum,ziraat
ziraat_CARD_CUST_0026_4,ziraat_16,Banka,75386.91,60978.9,2025-07-09,2025-07-11,Business,ziraat
ziraat_CARD_CUST_0027_1,ziraat_17,Kredi,40644.89,1824.88,2025-07-18,2025-07-12,Gold,ziraat
ziraat_CARD_CUST_0030_2,ziraat_18,Kredi,3556.25,64866.52,2025-07-06,2025-07-19,Black,ziraat
ziraat_CARD_CUST_0033_1,ziraat_19,Kredi,62981.1,23166.19,2025-07-06,2025-07-19,Gold,ziraat
ziraat_CARD_CUST_0033_2,ziraat_19,Banka,69981.25,26599.5,2025-07-09,2025-07-26,Classic,ziraat
ziraat_CARD_CUST_0035_1,ziraat_20,Kredi,63795.12,44840.95,2025-07-18,2025-07-25,Business,ziraat
ziraat_CARD_CUST_0037_1,ziraat_22,Banka,21519.38,39314.84,2025-07-02,2025-07-06,Black,ziraat
ziraat_CARD_CUST_0037_2,ziraat_22,Kredi,13218.82,21057.43,2025-07-09,2025-07-13,Classic,ziraat
ziraat_CARD_CUST_0037_3,ziraat_22,Banka,54515.74,11745.3,2025-07-14,2025-08-02,Business,ziraat
ziraat_CARD_CUST_0037_4,ziraat_22,Kredi,78184.4,32731.36,2025-07-13,2025-07-14,Black,ziraat
ziraat_CARD_CUST_0039_2,ziraat_23,Kredi,32487.53,32842.02,2025-07-04,2025-07-12,Platinum,ziraat
ziraat_CARD_CUST_0043_1,ziraat_25,Kredi,14422.05,20264.55,2025-07-16,2025-07-26,Business,ziraat
ziraat_CARD_CUST_0044_1,ziraat_26,Kredi,46311.52,2910.89,2025-07-11,2025-07-31,Platinum,ziraat
ziraat_CARD_CUST_0044_2,ziraat_26,Kredi,31714.45,38020.73,2025-07-04,2025-07-13,Business,ziraat
ziraat_CARD_CUST_0045_1,ziraat_27,Kredi,75979.76,64982.88,2025-07-02,2025-07-10,Classic,ziraat
ziraat_CARD_CUST_0045_2,ziraat_27,Banka,52837.78,21041.2,2025-07-02,2025-07-25,Business,ziraat
ziraat_CARD_CUST_0047_2,ziraat_28,Banka,32730.67,1347.26,2025-07-07,2025-07-28,Platinum,ziraat
ziraat_CARD_CUST_0050_2,ziraat_29,Banka,35121.07,34686.11,2025-07-08,2025-07-25,Classic,ziraat
ziraat_CARD_CUST_0050_4,ziraat_29,Banka,47742.06,39807.43,2025-07-15,2025-07-26,Black,ziraat
ziraat_CARD_CUST_0052_1,ziraat_30,Banka,23902.34,49008.74,2025-07-02,2025-07-17,Classic,ziraat
ziraat_CARD_CUST_0052_2,ziraat_30,Banka,66395.24,1396.39,2025-07-01,2025-07-18,Platinum,ziraat
ziraat_CARD_CUST_0053_3,ziraat_31,Kredi,39922.9,22154.36,2025-07-16,2025-07-23,Gold,ziraat
ziraat_CARD_CUST_0054_2,ziraat_32,Kredi,68974.77,10393.97,2025-07-04,2025-07-24,Platinum,ziraat
