bank_customer_id,global_customer_id,bank_id,registration_date,risk_score
ziraat_1,CUST_0002,ziraat,2020-08-03,57
ziraat_2,CUST_0003,ziraat,2024-05-01,40
ziraat_3,CUST_0004,ziraat,2025-05-31,47
ziraat_4,CUST_0005,ziraat,2023-05-31,53
ziraat_5,CUST_0009,ziraat,2025-02-24,34
ziraat_6,CUST_0012,ziraat,2023-08-26,20
ziraat_7,CUST_0013,ziraat,2021-01-09,39
ziraat_8,CUST_0017,ziraat,2021-04-07,2
ziraat_9,CUST_0018,ziraat,2023-10-22,1
ziraat_10,CUST_0019,ziraat,2024-05-23,67
ziraat_11,CUST_0021,ziraat,2022-11-27,98
ziraat_12,CUST_0022,ziraat,2022-01-12,18
ziraat_13,CUST_0023,ziraat,2022-07-21,45
ziraat_14,CUST_0024,ziraat,2020-09-18,37
ziraat_15,CUST_0025,ziraat,2023-09-08,61
ziraat_16,CUST_0026,ziraat,2020-09-23,69
ziraat_17,CUST_0027,ziraat,2024-02-11,2
ziraat_18,CUST_0030,ziraat,2024-04-27,89
ziraat_19,CUST_0033,ziraat,2022-03-28,63
ziraat_20,CUST_0035,ziraat,2021-06-04,97
ziraat_21,CUST_0036,ziraat,2020-12-06,62
ziraat_22,CUST_0037,ziraat,2022-12-30,39
ziraat_23,CUST_0039,ziraat,2024-08-16,2
ziraat_24,CUST_0041,ziraat,2022-09-01,99
ziraat_25,CUST_0043,ziraat,2023-08-11,56
ziraat_26,CUST_0044,ziraat,2021-07-20,38
ziraat_27,CUST_0045,ziraat,2022-06-15,77
ziraat_28,CUST_0047,ziraat,2022-02-06,30
ziraat_29,CUST_0050,ziraat,2024-03-03,1
ziraat_30,CUST_0052,ziraat,2024-05-22,71
ziraat_31,CUST_0053,ziraat,2023-08-15,48
ziraat_32,CUST_0054,ziraat,2024-11-23,25
ziraat_33,CUST_0055,ziraat,2025-02-21,53
ziraat_34,CUST_0057,ziraat,2022-02-28,72
ziraat_35,CUST_0060,ziraat,2023-03-31,56
ziraat_36,CUST_0061,ziraat,2024-07-02,51
ziraat_37,CUST_0062,ziraat,2025-04-14,32
ziraat_38,CUST_0063,ziraat,2021-12-07,21
ziraat_39,CUST_0064,ziraat,2020-10-21,92
ziraat_40,CUST_0065,ziraat,2023-09-21,95
ziraat_41,CUST_0067,ziraat,2023-10-02,83
ziraat_42,CUST_0069,ziraat,2021-11-09,50
ziraat_43,CUST_0071,ziraat,2023-10-07,49
ziraat_44,CUST_0073,ziraat,2023-06-29,29
ziraat_45,CUST_0074,ziraat,2025-03-20,34
ziraat_46,CUST_0075,ziraat,2021-05-11,11
ziraat_47,CUST_0078,ziraat,2022-11-24,55
ziraat_48,CUST_0079,ziraat,2024-03-03,81
ziraat_49,CUST_0080,ziraat,2020-08-13,31
ziraat_50,CUST_0082,ziraat,2024-02-28,67
ziraat_51,CUST_0083,ziraat,2022-10-02,98
ziraat_52,CUST_0084,ziraat,2024-10-19,79
ziraat_53,CUST_0085,ziraat,2023-07-24,89
ziraat_54,CUST_0089,ziraat,2020-11-22,88
ziraat_55,CUST_0090,ziraat,2023-02-02,35
ziraat_56,CUST_0094,ziraat,2022-02-19,37
ziraat_57,CUST_0098,ziraat,2020-11-26,84
ziraat_58,CUST_0099,ziraat,2023-07-15,96
ziraat_59,CUST_0102,ziraat,2020-07-28,69
ziraat_60,CUST_0103,ziraat,2021-01-07,35
ziraat_61,CUST_0104,ziraat,2022-12-06,53
ziraat_62,CUST_0108,ziraat,2023-09-04,25
ziraat_63,CUST_0109,ziraat,2022-10-05,9
ziraat_64,CUST_0110,ziraat,2024-11-12,24
ziraat_65,CUST_0112,ziraat,2021-03-10,18
ziraat_66,CUST_0114,ziraat,2021-11-01,38
ziraat_67,CUST_0116,ziraat,2022-03-03,15
ziraat_68,CUST_0117,ziraat,2022-09-13,82
ziraat_69,CUST_0118,ziraat,2025-04-09,59
ziraat_70,CUST_0119,ziraat,2022-07-14,80
ziraat_71,CUST_0120,ziraat,2024-12-14,58
ziraat_72,CUST_0121,ziraat,2022-03-14,35
ziraat_73,CUST_0122,ziraat,2022-11-07,90
ziraat_74,CUST_0126,ziraat,2021-08-02,80
ziraat_75,CUST_0130,ziraat,2020-12-13,63
ziraat_76,CUST_0131,ziraat,2021-05-26,25
ziraat_77,CUST_0132,ziraat,2021-04-24,42
ziraat_78,CUST_0134,ziraat,2024-02-24,3
